6,0.77027
9,0.114865
7,0.081081
8,0.02027
10,0.013514
Name:,Into_what_grade_did_you_originally_enroll_in_Bosque_School?
2010,0.134228
2007,0.134228
2011,0.120805
2012,0.107383
2008,0.107383
2006,0.09396
2005,0.087248
2009,0.073826
2004,0.040268
2001,0.040268
2003,0.026846
2002,0.026846
1111,0.006711
Name:,Please_indicate_your_Bosque_School_graduating_class_year_using_all_4_digits.
University_of_New_Mexico,0.09589
UNM,0.061644
University_of_Denver,0.034247
George_Washington_University,0.027397
George_Washington_University_,0.020548
New_Mexico_Tech,0.020548
Tufts_University,0.020548
Wesleyan_University,0.020548
Texas_Tech_University,0.020548
Lake_Forest_College,0.020548
Case_Western_Reserve_University,0.013699
Texas_Christian_University,0.013699
University_of_New_Mexico_,0.013699
Lawrence_University,0.013699
NMSU,0.013699
Emory_University,0.013699
St._Edward's_University,0.013699
Colorado_State_University_,0.013699
University_of_Puget_Sound,0.013699
Pennsylvania_State_University_-_Schreyer_Honors_College,0.006849
Rice_University,0.006849
New_Mexico_State_University_,0.006849
University_of_Chicago,0.006849
Tulane_University,0.006849
Oberlin,0.006849
UNIVERSITY_OF_NEW_MEXICO,0.006849
The_George_Washington_University,0.006849
Northeastern_university,0.006849
Barnard_College_of_Columbia_University,0.006849
Currently_attending_,0.006849
Mount_Holyoke_College,0.006849
Montana_State_University,0.006849
Vassar_College_,0.006849
Hobart_and_William_Smith_Colleges,0.006849
Auburn_University,0.006849
Trinity_University,0.006849
NYU,0.006849
Stanford_University,0.006849
University_of_Redlands,0.006849
University_of_St_Andrews,0.006849
Hobart_William_Smith_College,0.006849
U_of_Puget_Sound_and_UNM_(degree_unfinished),0.006849
Earlham,0.006849
University_of_Idaho,0.006849
Eugene_Lang_college,0.006849
University_of_Colorado_Boulder,0.006849
Wheaton_College,0.006849
Carleton_College,0.006849
University_of_Colorado_at_Boulder_,0.006849
Colorado_College,0.006849
University_of_Washington,0.006849
University_of_California:_Santa_Cruz,0.006849
University_of_Washington_-_Seattle,0.006849
Virginia_Military_Institute,0.006849
Dartmouth_College,0.006849
University_of_Colorado_at_Boulder,0.006849
New_Mexico_State_University,0.006849
dropped_out,0.006849
Southern_Methodist_University,0.006849
Bryn_Mawr_College,0.006849
California_State_University_Northridge_,0.006849
Vassar_College,0.006849
Naropa_University,0.006849
SMU,0.006849
Vanderbilt_University,0.006849
Hendrix_College,0.006849
Embry_Riddle_Aeronautical_University,0.006849
Washington_University_in_St._Louis,0.006849
University_of_Vermont,0.006849
Stevens_Institute_of_Technology,0.006849
University_of_new_mexico,0.006849
A,0.006849
Baylor_and_University_of_Maryland_,0.006849
The_Colorado_College,0.006849
